Estacion,Agrupacion,Fecha inicial,Fecha final,Parametro,Dias buenos,Dias aceptables,Dias malos,Dias muy malos,Dias extremadamente malos,Dias insuficientes,Unnamed: 11
STA : Agua Santa,2018-6,01/06/2018,30/06/2018,SO2,19,0,0,0,0,11,nan
STA : Agua Santa,2018-7,01/07/2018,31/07/2018,SO2,25,0,0,0,0,6,nan
STA : Agua Santa,2018-8,01/08/2018,31/08/2018,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2018-9,01/09/2018,30/09/2018,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2018-10,01/10/2018,31/10/2018,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2018-11,01/11/2018,30/11/2018,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2018-12,,31/12/2018,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-1,01/01/2018,31/01/2018,SO2,28,0,0,0,0,3,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-2,01/02/2018,28/02/2018,SO2,20,0,,0,0,,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-3,01/03/2018,31/03/2018,SO2,23,,0,0,0,8,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-4,01/04/2018,30/04/2018,SO2,27,0,,0,,3,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-5,01/05/2018,31/05/2018,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-6,01/06/2018,30/06/2018,SO2,26,0,0,0,0,4,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-7,01/07/2018,31/07/2018,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-8,01/08/2018,31/08/2018,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-9,01/09/2018,30/09/2018,SO2,30,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-10,01/10/2018,31/10/2018,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-11,01/11/2018,30/11/2018,SO2,Auto%#,0,0,0,0,3,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2018-12,01/12/2018,31/12/2018,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2018-1,01/01/2018,31/01/2018,SO2,28,0,0,0,,3,nan
VEL : Velodromo,2018-2,01/02/2018,28/02/2018,SO2,28,0,0,0,0,0,nan
VEL : Velodromo,2018-3,01/03/2018,31/03/2018,SO2,31,0,0,0,0,,nan
VEL : Velodromo,2018-4,01/04/2018,30/04/2018,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,2018-5,01/05/2018,31/05/2018,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2018-6,01/06/2018,30/06/2018,,30,0,0,0,0,0,nan
VEL : Velodromo,2018-7,01/07/2018,31/07/2018,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2018-8,01/08/2018,31/08/2018,SO2,31,0,0,0,0,0,nan
VEL : Velodromo,2018-9,01/09/2018,30/09/2018,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,2018-10,01/10/2018,31/10/2018,,29,0,0,0,0,Auto%#,nan
VEL : Velodromo,2018-11,01/11/2018,30/11/2018,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,2018-12,01/12/2018,31/12/2018,SO2,31,0,0,0,0,0,nan
Agregado,2018-2,01/02/2018,28/02/2018,,28,0,0,0,0,0,nan
Agregado,2018-3,01/03/2018,31/03/2018,SO2,31,0,0,0,0,0,nan
Auto%#,2018-4,01/04/2018,30/04/2018,SO2,30,0,0,0,0,0,nan
Agregado,2018-5,01/05/2018,31/05/2018,SO2,31,,0,0,0,0,nan
Agregado,2018-6,01/06/2018,30/06/2018,SO2,30,0,0,,0,0,nan
Agregado,2018-7,01/07/2018,31/07/2018,SO2,31,0,0,0,0,0,nan
Agregado,2018-8,01/08/2018,31/08/2018,SO2,31,0,0,0,0,0,nan
Agregado,2018-9,01/09/2018,30/09/2018,SO2,30,0,0,0,0,0,nan
Agregado,2018-10,01/10/2018,31/10/2018,SO2,31,Auto%#,0,0,0,0,nan
Agregado,2018-11,01/11/2018,30/11/2018,SO2,30,,0,0,0,,nan
Agregado,2018-12,01/12/2018,31/12/2018,SO2,31,0,0,0,0,0,nan
Agregado,2018-1,01/01/2018,31/01/2018,SO2,29,0,0,0,0,,nan
BINE : Benemerito Instituto Normal del Estado,2019-1,01/01/2019,31/01/2019,SO2,22,Auto%#,0,0,0,,nan
BINE : Benemerito Instituto Normal del Estado,2019-2,01/02/2019,28/02/2019,SO2,12,Auto%#,0,0,0,16,nan
BINE : Benemerito Instituto Normal del Estado,2019-3,,31/03/2019,SO2,12,0,0,0,0,19,
BINE : Benemerito Instituto Normal del Estado,2019-5,01/05/2019,31/05/2019,SO2,14,0,0,0,0,17,nan
BINE : Benemerito Instituto Normal del Estado,2019-6,01/06/2019,30/06/2019,,26,0,0,0,0,4,nan
BINE : Benemerito Instituto Normal del Estado,2019-7,01/07/2019,31/07/2019,,23,0,0,0,Auto%#,8,nan
BINE : Benemerito Instituto Normal del Estado,2019-8,01/08/2019,31/08/2019,SO2,19,0,0,0,0,12,nan
BINE : Benemerito Instituto Normal del Estado,2019-9,01/09/2019,30/09/2019,SO2,25,0,0,0,0,5,nan
BINE : Benemerito Instituto Normal del Estado,2019-10,01/10/2019,31/10/2019,SO2,9,0,0,0,0,22,nan
BINE : Benemerito Instituto Normal del Estado,2019-11,01/11/2019,30/11/2019,SO2,30,0,0,0,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2019-12,01/12/2019,31/12/2019,SO2,,0,0,0,0,17,nan
STA : Agua Santa,2019-1,01/01/2019,31/01/2019,SO2,31,0,0,0,0,0,nan
STA : Agua Santa,2019-2,01/02/2019,28/02/2019,SO2,28,0,0,0,0,0,nan
STA : Agua Santa,2019-3,01/03/2019,31/03/2019,SO2,28,0,0,0,0,3,nan
STA : Agua Santa,2019-4,01/04/2019,30/04/2019,SO2,7,0,0,0,0,23,nan
STA : Agua Santa,2019-5,01/05/2019,31/05/2019,SO2,22,0,0,0,0,9,nan
STA : Agua Santa,2019-6,01/06/2019,30/06/2019,SO2,30,0,0,0,0,0,nan
STA : Agua Santa,2019-7,01/07/2019,31/07/2019,SO2,14,0,0,0,0,17,nan
STA : Agua Santa,2019-8,01/08/2019,31/08/2019,,27,0,0,0,0,4,nan
STA : Agua Santa,2019-9,01/09/2019,30/09/2019,SO2,23,0,0,0,0,7,nan
STA : Agua Santa,2019-10,01/10/2019,31/10/2019,SO2,22,0,0,0,0,9,nan
STA : Agua Santa,2019-11,01/11/2019,30/11/2019,SO2,18,0,0,0,0,,nan
STA : Agua Santa,2019-12,01/12/2019,31/12/2019,SO2,24,0,0,0,0,7,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-1,01/01/2019,31/01/2019,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-2,01/02/2019,28/02/2019,SO2,28,0,0,0,0,0,nan
Auto%#,2019-3,01/03/2019,31/03/2019,SO2,31,0,0,0,0,,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-4,01/04/2019,30/04/2019,SO2,25,0,0,0,0,5,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-5,01/05/2019,31/05/2019,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-6,01/06/2019,30/06/2019,SO2,28,0,0,0,0,2,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-7,01/07/2019,31/07/2019,SO2,31,0,0,0,0,0,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-8,01/08/2019,31/08/2019,SO2,21,0,0,0,,10,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-9,01/09/2019,30/09/2019,SO2,29,0,0,0,0,1,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-10,01/10/2019,31/10/2019,SO2,25,0,0,0,0,6,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-11,01/11/2019,30/11/2019,SO2,21,0,0,0,0,9,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2019-12,01/12/2019,31/12/2019,SO2,21,0,0,0,0,10,nan
VEL : Velodromo,2019-1,01/01/2019,31/01/2019,SO2,31,0,0,0,0,0,nan
,2019-2,01/02/2019,28/02/2019,SO2,28,0,0,0,0,0,nan
VEL : Velodromo,2019-4,01/04/2019,30/04/2019,SO2,30,0,0,0,0,0,nan
VEL : Velodromo,2019-5,01/05/2019,31/05/2019,SO2,13,0,0,0,0,18,nan
VEL : Velodromo,2019-7,01/07/2019,31/07/2019,SO2,20,0,0,0,0,11,nan
VEL : Velodromo,2019-8,01/08/2019,31/08/2019,SO2,22,0,0,0,0,9,nan
VEL : Velodromo,2019-9,01/09/2019,30/09/2019,SO2,27,0,0,0,0,3,nan
VEL : Velodromo,2019-10,01/10/2019,31/10/2019,SO2,14,0,,0,0,,nan
VEL : Velodromo,2019-11,01/11/2019,30/11/2019,SO2,16,0,0,0,0,14,nan
,2019-12,01/12/2019,31/12/2019,SO2,31,0,0,0,0,0,nan
Agregado,2019-1,01/01/2019,31/01/2019,Auto%#,31,0,,,0,0,nan
Agregado,2019-2,01/02/2019,28/02/2019,SO2,28,0,0,0,0,0,nan
Agregado,2019-3,01/03/2019,31/03/2019,SO2,31,0,0,0,0,0,nan
Agregado,2019-5,01/05/2019,31/05/2019,SO2,31,0,0,0,0,0,nan
